# 847 Layer-(c) reference-reachability — per-reference. MEASURE not verdict. INPUT for ai-01 synthesis. GATED jsboige ratification. 0 prod CSV.
"# bucket in {wikipedia-stable, archive-repointed, dictionary-known, alive, dead, unknown, unparseable}. WMF/archive/dictionary = deterministic allowlist; long-tail = read-only HEAD probe."
pk,lang,host,url,bucket
123,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%B8%D0%BA%D0%B5%D1%82,wikipedia-stable
123,pt,pt.wikipedia.org,https://pt.wikipedia.org/wiki/Etiqueta,wikipedia-stable
123,ar,ar.wikipedia.org,https://ar.wikipedia.org/wiki/%D8%A2%D8%AF%D8%A7%D8%A8%20%28%D8%B3%D9%84%D9%88%D9%83%29,wikipedia-stable
123,es,es.wikipedia.org,https://es.wikipedia.org/wiki/Etiqueta%20%28c%C3%B3digo%29,wikipedia-stable
123,zh,zh.wikipedia.org,https://zh.wikipedia.org/wiki/%E7%A6%AE%E5%84%80,wikipedia-stable
123,fa,fa.wikipedia.org,https://fa.wikipedia.org/wiki/%D8%A2%D8%AF%D8%A7%D8%A8,wikipedia-stable
124,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/170/Style-Over-Substance,dictionary-known
125,en,rationalwiki.org,http://rationalwiki.org/wiki/Argument_from_design,dead
126,en,rationalwiki.org,http://rationalwiki.org/wiki/Argument_from_beauty,dead
127,en,rationalwiki.org,https://rationalwiki.org/wiki/Appeal_to_money,dead
128,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Argumentum_ad_crumenam,wikipedia-stable
128,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Argumentum_ad_crumenam,wikipedia-stable
129,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Argumentum_ad_lazarum,wikipedia-stable
129,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Argumentum_ad_lazarum,wikipedia-stable
130,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Appeal_to_the_law,wikipedia-stable
131,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/157/Rights-To-Ought-Fallacy,dictionary-known
132,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Capacitisme,wikipedia-stable
132,en,utminers.utep.edu,http://utminers.utep.edu/omwilliamson/ENGL1311/fallacies.htm#2,dictionary-known
133,fr,fr.wiktionary.org,https://fr.wiktionary.org/wiki/surinterpr%C3%A9tation,wikipedia-stable
133,en,en.wiktionary.org,https://en.wiktionary.org/wiki/overinterpretation,wikipedia-stable
134,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Ludic_fallacy,wikipedia-stable
135,en,don-lindsay-archive.org,http://www.don-lindsay-archive.org/skeptic/arguments.html#reductive,archive-repointed
136,en,don-lindsay-archive.org,http://www.don-lindsay-archive.org/skeptic/arguments.html#crucial_experiment,archive-repointed
137,en,en.wikipedia.org,https://en.wikipedia.org/wiki/McNamara_fallacy,wikipedia-stable
138,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Streetlight_effect,wikipedia-stable
139,fr,fr.wiktionary.org,https://fr.wiktionary.org/wiki/ang%C3%A9lisme,wikipedia-stable
139,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Angelism,wikipedia-stable
140,en,rationalwiki.org,http://rationalwiki.org/wiki/Intuition_pump,dead
141,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Biais_r%C3%A9trospectif,wikipedia-stable
